timestamp,open,high,low,close,volume
2026-04-05 18:00:00,6590.0,6590.0,6567.0,6587.5,23626
2026-04-05 19:00:00,6587.5,6589.5,6578.25,6587.5,8179
2026-04-05 20:00:00,6587.5,6610.75,6586.5,6609.25,15774
2026-04-05 21:00:00,6609.25,6618.0,6606.5,6609.75,10079
2026-04-05 22:00:00,6609.75,6635.75,6608.75,6615.75,18735
2026-04-05 23:00:00,6615.75,6616.75,6595.25,6612.25,11687
2026-04-06 00:00:00,6612.25,6622.5,6611.25,6621.0,5498
2026-04-06 01:00:00,6621.0,6624.0,6613.25,6617.25,4829
2026-04-06 02:00:00,6617.0,6632.5,6614.5,6624.5,11450
2026-04-06 03:00:00,6624.75,6639.5,6614.25,6634.75,11699
2026-04-06 04:00:00,6634.75,6650.0,6634.75,6645.0,12166
2026-04-06 05:00:00,6645.0,6651.25,6635.75,6637.25,13333
2026-04-06 06:00:00,6637.5,6643.0,6619.0,6631.0,15611
2026-04-06 07:00:00,6631.25,6631.25,6624.0,6627.0,12875
2026-04-06 08:00:00,6627.0,6635.5,6622.5,6629.25,19776
2026-04-06 09:00:00,6629.25,6649.25,6617.75,6649.0,144645
2026-04-06 10:00:00,6648.75,6661.0,6624.0,6638.5,213314
2026-04-06 11:00:00,6638.75,6644.25,6626.5,6642.25,100469
2026-04-06 12:00:00,6642.5,6649.0,6635.75,6643.0,68163
2026-04-06 13:00:00,6643.25,6644.0,6618.75,6628.25,96256
2026-04-06 14:00:00,6628.5,6650.25,6626.0,6647.0,84106
2026-04-06 15:00:00,6647.0,6653.5,6641.75,6653.0,122746
2026-04-06 16:00:00,6653.0,6654.25,6646.5,6650.75,38193
2026-04-06 18:00:00,6650.5,6659.25,6642.25,6643.25,7975
2026-04-06 19:00:00,6643.25,6650.0,6641.5,6641.75,4344
2026-04-06 20:00:00,6641.5,6654.75,6637.75,6641.0,11298
2026-04-06 21:00:00,6641.0,6643.75,6611.75,6614.25,17373
